Date,T_noon,RH_noon,Wind_noon,Precip_24h,FFMC,DMC,DC,ISI,BUI,FWI
2020-07-16,16.8,63.0,14.0,0.0,83.26,17.94,319.64,3.38,31.47,7.28
2020-07-17,19.9,63.0,13.0,0.0,84.65,19.77,326.93,3.87,34.35,8.65
2020-07-18,20.5,74.0,10.0,0.0,84.7,21.09,334.32,3.35,36.43,7.89
2020-07-19,27.3,50.0,3.0,1.2,83.84,24.42,342.94,2.1,41.46,5.55
2020-07-20,26.3,66.0,21.0,0.0,85.35,26.61,351.38,6.38,44.75,15.06
2020-07-21,22.0,70.0,10.0,0.0,85.4,28.24,359.04,3.69,47.2,10.03
2020-07-22,22.3,65.0,5.0,0.0,85.45,30.16,366.76,2.88,50.04,8.42
2020-07-23,21.3,79.0,6.0,0.0,84.08,31.27,374.3,2.52,51.73,7.63
2020-07-24,21.8,78.0,7.0,0.9,79.39,32.45,381.93,1.52,53.53,4.82
2020-07-25,28.0,45.0,10.0,0.0,88.12,36.21,390.67,5.42,58.8,15.44
2020-07-26,20.0,87.0,8.0,2.1,65.91,43.37,397.97,0.82,68.17,2.91
2020-07-27,22.8,78.0,10.0,1.0,72.64,44.61,405.78,1.14,69.98,4.35
2020-07-28,23.2,91.0,9.0,11.9,32.37,22.88,380.93,0.01,39.79,0.01
2020-07-29,22.1,90.0,8.0,0.0,47.41,23.43,388.61,0.18,40.72,0.26
2020-07-30,26.8,59.0,9.0,0.0,77.01,26.11,397.14,1.37,44.85,3.77
2020-07-31,22.8,78.0,7.0,1.7,70.56,36.89,404.95,0.91,60.1,2.95
2020-08-01,20.4,80.0,17.0,0.2,77.65,37.78,411.62,2.16,61.46,7.42
2020-08-02,24.6,75.0,8.0,0.0,81.62,39.11,419.06,2.04,63.42,7.2
2020-08-03,25.8,67.0,24.0,0.0,84.77,40.94,426.7,6.85,66.04,19.57
2020-08-04,23.6,70.0,18.0,0.0,84.82,42.47,433.96,5.09,68.24,16.0
2020-08-05,25.9,70.0,18.0,0.0,84.87,44.14,441.62,5.13,70.63,16.39
2020-08-06,26.6,46.0,16.0,0.0,88.64,47.23,449.41,7.9,74.81,23.15
2020-08-07,25.4,56.0,14.0,0.0,88.69,49.64,456.99,7.19,78.08,22.15
2020-08-08,24.4,63.0,8.0,0.0,87.65,51.59,464.39,4.58,80.75,16.21
2020-08-09,30.1,41.0,11.0,0.0,90.38,55.39,472.81,7.87,85.68,24.78
2020-08-10,24.3,70.0,6.0,0.0,86.87,56.96,480.19,3.7,87.86,14.46
2020-08-11,27.2,67.0,17.0,0.0,86.92,58.89,488.09,6.49,90.48,22.25
2020-08-12,27.2,66.0,16.0,0.0,86.96,60.87,495.99,6.22,93.16,21.9
2020-08-13,25.2,64.0,8.0,0.0,87.01,62.83,503.53,4.18,95.78,16.63
2020-08-14,23.9,73.0,13.0,0.0,85.7,64.22,510.83,4.47,97.73,17.66
2020-08-15,23.2,71.0,17.0,0.0,85.74,65.68,518.01,5.5,99.74,20.78
2020-08-16,22.6,64.0,10.0,0.2,85.79,67.44,525.08,3.89,102.1,16.3
2020-08-17,18.2,73.0,6.0,0.4,84.88,68.51,531.36,2.81,103.62,12.76
2020-08-18,17.5,93.0,15.0,0.3,79.37,68.78,537.52,2.27,104.22,10.8
2020-08-19,24.3,45.0,14.0,0.5,87.42,71.67,544.9,5.99,107.87,22.95
2020-08-20,22.0,44.0,16.0,0.0,88.56,74.34,551.86,7.81,111.22,27.96
2020-08-21,19.5,63.0,7.0,0.0,87.09,75.91,558.37,4.02,113.31,17.59
2020-08-22,21.6,50.0,6.0,0.2,87.52,78.25,565.27,4.07,116.27,17.95
2020-08-23,22.4,61.0,7.0,0.0,87.48,80.15,572.3,4.25,118.73,18.71
2020-08-24,22.6,65.0,7.0,0.0,86.93,81.86,579.37,3.93,120.98,17.81
2020-08-25,19.9,94.0,11.0,0.2,79.45,82.12,585.96,1.87,121.62,9.98
2020-08-26,16.8,56.0,21.0,9.8,60.9,46.97,555.07,1.25,77.54,5.18
2020-08-27,15.4,54.0,19.0,0.0,78.54,48.54,560.85,2.57,79.81,10.2
2020-08-28,18.4,49.0,16.0,0.0,85.27,50.59,567.16,4.9,82.73,17.28
2020-08-29,18.8,52.0,9.0,0.0,86.43,52.56,573.55,4.05,85.53,15.26
2020-08-30,22.1,88.0,10.0,23.6,34.59,21.93,466.41,0.02,39.25,0.03
2020-08-31,16.3,65.0,17.0,3.7,53.77,20.02,475.66,0.58,36.23,0.79
2020-09-01,18.2,62.0,10.0,0.0,73.67,21.33,480.64,1.19,38.4,2.77
2020-09-02,20.3,53.0,12.0,0.0,83.62,23.12,486.0,3.2,41.32,8.2
2020-09-03,20.9,93.0,9.0,1.0,74.02,23.39,491.47,1.15,41.81,2.86
2020-09-04,25.2,62.0,15.0,11.9,64.03,13.12,457.54,1.08,24.49,1.45
2020-09-05,20.0,64.0,11.0,0.0,78.29,14.48,462.84,1.68,26.85,3.17
2020-09-06,21.4,43.0,13.0,0.0,86.77,16.76,468.4,5.2,30.77,10.42
2020-09-07,23.1,43.0,11.0,0.0,88.72,19.22,474.26,6.21,34.9,12.91
2020-09-08,23.4,70.0,12.0,0.0,86.4,20.52,480.17,4.69,37.09,10.64
2020-09-09,23.3,75.0,10.0,0.0,85.2,21.61,486.07,3.58,38.9,8.72
2020-09-10,20.2,84.0,6.0,0.0,82.82,22.22,491.41,2.13,39.92,5.5
2020-09-11,13.5,71.0,21.0,0.7,81.14,22.97,495.55,3.71,41.17,9.3
2020-09-12,18.9,45.0,11.0,0.0,86.41,24.93,500.65,4.47,44.34,11.33
2020-09-13,19.0,53.0,15.0,0.0,86.66,26.61,505.78,5.66,47.04,14.12
2020-09-14,19.7,71.0,14.0,2.5,71.37,29.96,511.03,1.33,52.26,4.09
2020-09-15,14.6,55.0,11.0,0.0,80.76,31.22,515.36,2.15,54.22,6.81
2020-09-16,14.7,54.0,16.0,0.0,84.38,32.51,519.71,4.34,56.23,12.67
2020-09-17,20.9,60.0,21.0,0.0,85.54,34.08,525.17,6.55,58.64,17.77
2020-09-18,12.9,70.0,17.0,0.0,84.63,34.82,529.2,4.72,59.81,14.02
2020-09-19,13.7,54.0,15.0,0.0,85.38,36.04,533.37,4.73,61.66,14.29
2020-09-20,12.8,54.0,10.0,0.9,82.14,37.18,537.38,2.4,63.39,8.32
2020-09-21,14.4,49.0,9.0,0.0,85.2,38.58,541.67,3.41,65.5,11.41
2020-09-22,13.1,71.0,23.0,0.0,84.4,39.32,545.74,6.19,66.63,18.26
2020-09-23,12.2,96.0,23.0,52.6,17.55,12.48,320.9,0.0,22.76,0.0
2020-09-24,16.1,73.0,10.0,2.2,42.17,17.28,325.5,0.09,30.51,0.1
2020-09-25,15.5,44.0,12.0,0.0,71.95,18.93,329.99,1.22,33.12,2.52
2020-09-26,19.3,45.0,14.0,0.0,84.41,20.93,335.17,3.94,36.21,9.06
2020-09-27,21.5,74.0,14.0,0.0,84.46,21.98,340.75,3.96,37.85,9.36
2020-09-28,22.0,82.0,9.0,0.0,83.31,22.72,346.41,2.64,39.03,6.66
2020-09-29,25.2,70.0,18.0,0.0,84.44,24.12,352.65,4.83,41.2,11.58
2020-09-30,24.5,78.0,18.0,0.0,84.48,25.12,358.76,4.86,42.76,11.89
2020-10-01,20.5,60.0,13.0,1.5,79.58,26.43,363.16,2.1,44.73,5.85
2020-10-02,19.6,71.0,10.0,0.0,82.25,27.34,367.39,2.43,46.11,6.86
2020-10-03,14.2,71.0,8.0,0.0,82.58,28.01,370.65,2.29,47.13,6.59
2020-10-04,13.2,62.0,11.0,0.3,83.66,28.84,373.73,3.06,48.35,8.68
2020-10-05,12.1,81.0,10.0,1.9,66.69,36.79,376.61,0.93,59.14,3.0
2020-10-06,16.2,68.0,16.0,0.4,77.75,37.63,380.23,2.07,60.34,7.05
2020-10-07,15.0,76.0,9.0,0.0,80.02,38.22,383.64,1.79,61.2,6.24
2020-10-08,11.7,79.0,26.0,7.9,48.44,22.93,371.51,0.5,39.73,0.71
2020-10-09,7.9,44.0,23.0,0.0,72.0,23.7,373.63,2.13,40.91,5.59
2020-10-10,14.5,67.0,23.0,0.0,79.91,24.48,376.95,3.59,42.12,9.16
2020-10-11,7.7,72.0,20.0,20.1,39.76,10.33,317.85,0.09,19.11,0.08
2020-10-12,8.7,52.0,7.0,0.0,61.72,11.04,320.12,0.64,20.33,0.59
2020-10-13,11.4,58.0,10.0,0.0,74.92,11.84,322.88,1.26,21.69,1.71
2020-10-14,16.0,95.0,23.0,20.9,22.69,5.15,269.96,0.0,9.82,0.0
2020-10-15,15.6,58.0,11.0,2.3,51.71,10.53,273.47,0.35,19.21,0.31
2020-10-16,18.2,57.0,17.0,0.0,75.8,11.79,277.45,1.89,21.31,3.04
2020-10-17,18.0,69.0,15.0,0.0,81.22,12.68,281.4,2.77,22.8,4.9
2020-10-18,11.2,63.0,8.0,1.7,71.59,24.18,284.12,0.99,39.88,2.23
2020-10-19,13.1,77.0,5.0,0.0,75.98,24.68,287.18,1.04,40.62,2.46
2020-10-20,16.6,95.0,10.0,14.4,22.53,11.27,258.48,0.0,20.32,0.0
2020-10-21,8.8,76.0,14.0,0.6,44.36,11.63,260.77,0.15,20.92,0.14
2020-10-22,13.8,79.0,5.0,0.6,57.52,12.1,263.96,0.44,21.71,0.42
2020-10-23,9.8,63.0,9.0,0.0,70.92,12.71,266.43,1.01,22.71,1.0
2020-10-24,13.0,78.0,11.0,0.0,76.11,13.18,269.47,1.42,23.49,2.26
2020-10-25,6.0,77.0,16.0,0.2,78.14,13.43,271.26,2.13,23.9,3.83
2020-10-26,6.9,51.0,9.0,0.0,82.08,14.02,273.2,2.26,24.86,4.21
2020-10-27,5.7,81.0,18.0,6.3,43.57,8.74,268.61,0.16,16.16,0.13
2020-10-28,4.1,58.0,7.0,1.3,54.55,9.07,270.05,0.38,16.73,0.31
2020-10-29,7.8,56.0,12.0,0.0,70.54,9.66,272.16,1.17,17.75,0.98
2020-10-30,3.4,57.0,29.0,0.0,78.27,9.95,273.48,4.16,18.25,6.36
2020-10-31,4.8,48.0,15.0,1.6,72.79,29.33,275.04,1.47,46.31,4.17
