Date,T_noon,RH_noon,Wind_noon,Precip_24h,FFMC,DMC,DC,ISI,BUI,FWI
2020-05-01,14.9,53.0,17.0,0.0,85.78,7.98,20.09,5.53,8.01,5.33
2020-05-02,5.2,95.0,16.0,4.9,37.29,5.09,22.45,0.05,6.5,0.02
2020-05-03,7.9,70.0,5.0,4.5,35.41,3.72,25.98,0.02,5.48,0.01
2020-05-04,7.9,74.0,23.0,0.5,57.06,4.34,29.81,1.06,6.36,0.51
2020-05-05,2.1,94.0,30.0,28.3,15.47,1.51,2.78,0.0,1.37,0.0
2020-05-06,6.1,69.0,18.0,7.1,31.79,0.75,3.5,0.01,0.98,0.0
2020-05-07,3.5,85.0,18.0,0.0,45.22,0.93,6.54,0.21,1.37,0.06
2020-05-08,11.1,44.0,11.0,0.0,69.85,2.73,10.94,1.08,3.36,0.4
2020-05-09,3.2,94.0,15.0,6.0,29.38,1.05,11.12,0.01,1.7,0.0
2020-05-10,4.9,58.0,29.0,16.5,37.56,0.66,3.29,0.09,0.88,0.02
2020-05-11,11.5,43.0,18.0,0.0,68.59,2.55,7.76,1.48,2.8,0.51
2020-05-12,4.8,97.0,6.0,8.9,19.68,0.76,3.49,0.0,0.99,0.0
2020-05-13,7.2,58.0,16.0,2.2,44.05,0.92,7.19,0.16,1.39,0.04
2020-05-14,7.1,58.0,14.0,0.0,64.36,1.82,10.87,1.04,2.57,0.35
2020-05-15,8.1,61.0,9.0,0.0,74.3,2.77,14.73,1.16,3.77,0.45
2020-05-16,5.6,80.0,7.0,0.0,76.26,3.12,18.14,1.18,4.37,0.48
2020-05-17,17.8,43.0,17.0,0.0,85.58,5.96,23.75,5.38,7.32,4.96
2020-05-18,7.1,82.0,12.0,0.0,82.36,6.35,27.43,2.73,8.04,2.35
2020-05-19,6.9,68.0,20.0,0.0,82.41,7.02,31.08,4.1,8.97,4.16
2020-05-20,13.4,51.0,8.0,0.0,84.84,8.89,35.89,3.09,10.98,3.41
2020-05-21,21.6,34.0,15.0,0.0,89.66,12.84,42.19,8.7,14.58,10.78
2020-05-22,12.0,65.0,11.0,0.0,86.43,14.04,46.75,4.48,16.04,6.33
2020-05-23,5.7,53.0,22.0,0.0,86.22,14.88,50.18,7.57,17.09,10.4
2020-05-24,11.9,54.0,12.0,0.0,86.27,16.46,54.73,4.6,18.79,7.11
2020-05-25,18.7,26.0,18.0,0.0,90.84,20.32,60.5,11.97,22.09,16.92
2020-05-26,21.7,67.0,23.0,0.0,86.86,22.3,66.81,8.71,24.31,13.92
2020-05-27,13.6,94.0,5.0,12.9,24.26,10.76,55.44,0.0,14.49,0.0
2020-05-28,27.3,55.0,21.0,0.0,75.5,14.12,62.76,2.27,18.08,3.35
2020-05-29,23.5,74.0,24.0,0.0,81.78,15.8,69.4,4.65,20.14,7.46
2020-05-30,20.3,93.0,21.0,0.6,78.76,16.2,75.45,2.9,21.08,4.88
2020-05-31,19.5,73.0,16.0,0.6,81.13,17.66,81.37,2.88,22.9,5.11
2020-06-01,10.9,71.0,8.0,0.0,81.76,18.58,86.73,2.07,24.2,3.74
2020-06-02,8.7,90.0,17.0,0.6,78.69,18.84,91.7,2.36,24.89,4.39
2020-06-03,13.9,61.0,23.0,8.1,57.91,12.13,89.94,1.13,18.14,0.96
2020-06-04,15.8,75.0,11.0,0.0,71.08,13.24,96.19,1.13,19.7,1.1
2020-06-05,24.3,51.0,13.0,0.0,84.7,16.52,103.96,3.89,23.65,6.97
2020-06-06,11.7,90.0,11.0,0.0,80.34,16.86,109.47,2.05,24.34,3.71
2020-06-07,10.0,81.0,23.0,1.4,71.3,17.41,114.68,2.08,25.24,3.88
2020-06-08,10.6,87.0,10.0,14.9,28.07,8.33,97.62,0.0,13.72,0.0
2020-06-09,12.2,86.0,9.0,0.4,42.99,8.82,103.22,0.09,14.53,0.07
2020-06-10,16.4,38.0,9.0,0.0,73.36,11.67,109.58,1.11,18.43,0.96
2020-06-11,18.1,37.0,21.0,0.0,86.28,14.86,116.24,7.26,22.52,11.58
2020-06-12,18.0,93.0,18.0,0.0,79.53,15.21,122.89,2.68,23.23,4.8
2020-06-13,13.5,81.0,8.0,0.5,80.0,15.94,128.72,1.7,24.34,2.97
2020-06-14,10.7,81.0,14.0,0.0,80.05,16.53,134.05,2.32,25.27,4.36
2020-06-15,11.5,71.0,9.0,0.0,81.33,17.49,139.52,2.07,26.63,4.01
2020-06-16,20.0,67.0,9.0,0.0,83.45,19.32,146.53,2.69,29.07,5.59
2020-06-17,26.1,33.0,21.0,0.0,90.75,24.12,154.63,13.75,34.71,23.26
2020-06-18,28.4,44.0,13.0,0.0,90.8,28.47,163.15,9.25,39.65,18.69
2020-06-19,30.1,47.0,5.0,0.0,90.85,32.82,171.97,6.23,44.44,14.74
2020-06-20,14.5,84.0,12.0,0.0,83.45,33.48,177.98,3.13,45.54,8.54
2020-06-21,18.8,72.0,12.0,0.0,83.5,34.95,184.77,3.15,47.46,8.81
2020-06-22,24.9,55.0,11.0,0.0,86.59,38.03,192.66,4.58,50.93,12.51
2020-06-23,26.8,69.0,10.0,0.0,86.64,40.31,200.88,4.39,53.68,12.46
2020-06-24,25.6,71.0,12.0,0.0,86.23,42.34,208.9,4.58,56.21,13.21
2020-06-25,23.4,81.0,14.0,0.0,83.9,43.57,216.51,3.68,57.97,11.3
2020-06-26,26.8,44.0,8.0,0.0,88.65,47.68,224.74,5.29,62.31,15.65
2020-06-27,25.8,56.0,7.0,0.0,88.7,50.8,232.79,5.06,65.74,15.6
2020-06-28,25.1,57.0,12.0,0.0,88.61,53.76,240.71,6.43,69.0,19.14
2020-06-29,21.1,81.0,5.0,0.3,84.28,54.88,247.91,2.46,70.65,9.1
2020-06-30,19.6,85.0,8.0,0.3,82.29,55.69,254.84,2.21,72.03,8.41
2020-07-01,20.9,87.0,9.0,0.0,81.51,56.36,262.31,2.12,73.33,8.19
2020-07-02,26.7,65.0,14.0,0.0,85.05,58.65,270.82,4.3,76.1,14.94
2020-07-03,16.0,74.0,9.0,4.4,56.83,47.71,277.18,0.51,66.72,1.3
2020-07-04,18.1,73.0,11.0,0.3,72.17,48.93,284.14,1.17,68.41,4.42
2020-07-05,15.5,84.0,11.0,0.0,75.84,49.55,290.64,1.4,69.49,5.37
2020-07-06,13.8,94.0,4.0,4.8,34.95,38.13,295.24,0.01,57.65,0.03
2020-07-07,19.5,62.0,8.0,2.6,56.38,42.05,302.45,0.47,62.41,0.93
2020-07-08,18.7,74.0,15.0,0.0,72.81,43.26,309.52,1.47,64.12,5.32
2020-07-09,18.7,90.0,6.0,7.1,34.82,27.67,306.9,0.02,45.16,0.02
2020-07-10,21.2,82.0,8.0,16.7,31.68,12.62,273.1,0.01,22.63,0.01
2020-07-11,26.2,69.0,15.0,0.0,69.5,14.61,281.52,1.31,25.86,2.19
2020-07-12,26.1,82.0,11.0,3.9,58.67,12.85,291.34,0.65,23.14,0.65
2020-07-13,27.1,65.0,11.0,0.2,79.44,15.17,299.93,1.87,26.93,3.6
2020-07-14,16.4,81.0,19.0,0.0,80.34,15.95,306.58,3.07,28.22,6.22
2020-07-15,14.6,88.0,18.0,0.5,80.1,16.39,312.91,2.85,28.98,5.89
